TIMESTAMP,CLASSIFIER,BEST_SCORE,BEST_PARAMS,N_SPLITS,SCORER,CV_RESULTS,GRID
15082020221626,RandomForestClassifier,0.0,"{'max_depth': 3, 'min_impurity_decrease': 0.2, 'n_estimators': 50, 'n_jobs': -1}",3.0,make_scorer(accuracy_score),"{'mean_fit_time': array([0.69218723, 1.22015095, 1.74586105, 0.62383604, 1.22980221,",
"       1.64957245, 0.70476309, 1.15710775, 1.74187477, 0.74647983,",,,,,,,
"       1.20556633, 1.66028182, 0.70793136, 1.14234455, 1.44764392,",,,,,,,
"       0.70038931, 1.01434636, 1.02687256]), 'std_fit_time': array([0.0697032 , 0.07709956, 0.0147609 , 0.03625696, 0.0603289 ,",,,,,,,
"       0.06197749, 0.03530089, 0.09472279, 0.07864912, 0.04838335,",,,,,,,
"       0.03748748, 0.06851728, 0.05929034, 0.03122273, 0.08246832,",,,,,,,
"       0.03706466, 0.03292921, 0.15531653]), 'mean_score_time': array([0.23182384, 0.25030017, 0.31222208, 0.1288933 , 0.23981794,",,,,,,,
"       0.29909992, 0.17913095, 0.23451233, 0.3002665 , 0.20819076,",,,,,,,
"       0.29758859, 0.27787828, 0.21294697, 0.2693073 , 0.18050345,",,,,,,,
"       0.12629414, 0.15006661, 0.10750802]), 'std_score_time': array([0.0610081 , 0.02509666, 0.03706402, 0.00610429, 0.01610979,",,,,,,,
"       0.06717391, 0.00969372, 0.0183483 , 0.04420926, 0.0394775 ,",,,,,,,
"       0.02533787, 0.0669189 , 0.02912383, 0.02082191, 0.04851321,",,,,,,,
"       0.00910961, 0.05029566, 0.00074024]), 'param_max_depth': masked_array(data=[3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 10, 10, 10, 10, 10,",,,,,,,
"                   10],",,,,,,,
"             mask=[False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False],",,,,,,,
"       fill_value='?',",,,,,,,
"            dtype=object), 'param_min_impurity_decrease': masked_array(data=[0.2, 0.2, 0.2, 0.4, 0.4, 0.4, 0.2, 0.2, 0.2, 0.4, 0.4,",,,,,,,
"                   0.4, 0.2, 0.2, 0.2, 0.4, 0.4, 0.4],",,,,,,,
"             mask=[False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False],",,,,,,,
"       fill_value='?',",,,,,,,
"            dtype=object), 'param_n_estimators': masked_array(data=[50, 100, 150, 50, 100, 150, 50, 100, 150, 50, 100, 150,",,,,,,,
"                   50, 100, 150, 50, 100, 150],",,,,,,,
"             mask=[False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False],",,,,,,,
"       fill_value='?',",,,,,,,
"            dtype=object), 'param_n_jobs': masked_array(data=[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,",,,,,,,
"                   -1, -1, -1, -1],",,,,,,,
"             mask=[False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False, False, False, False, False, False, False,",,,,,,,
"                   False, False],",,,,,,,
"       fill_value='?',",,,,,,,
"            dtype=object), 'params': [{'max_depth': 3, 'min_impurity_decrease': 0.2, 'n_estimators': 50, 'n_jobs': -1}, {'max_depth': 3, 'min_impurity_decrease': 0.2, 'n_estimators': 100, 'n_jobs': -1}, {'max_depth': 3, 'min_impurity_decrease': 0.2, 'n_estimators': 150, 'n_jobs': -1}, {'max_depth': 3, 'min_impurity_decrease': 0.4, 'n_estimators': 50, 'n_jobs': -1}, {'max_depth': 3, 'min_impurity_decrease': 0.4, 'n_estimators': 100, 'n_jobs': -1}, {'max_depth': 3, 'min_impurity_decrease': 0.4, 'n_estimators': 150, 'n_jobs': -1}, {'max_depth': 5, 'min_impurity_decrease': 0.2, 'n_estimators': 50, 'n_jobs': -1}, {'max_depth': 5, 'min_impurity_decrease': 0.2, 'n_estimators': 100, 'n_jobs': -1}, {'max_depth': 5, 'min_impurity_decrease': 0.2, 'n_estimators': 150, 'n_jobs': -1}, {'max_depth': 5, 'min_impurity_decrease': 0.4, 'n_estimators': 50, 'n_jobs': -1}, {'max_depth': 5, 'min_impurity_decrease': 0.4, 'n_estimators': 100, 'n_jobs': -1}, {'max_depth': 5, 'min_impurity_decrease': 0.4, 'n_estimators': 150, 'n_jobs': -1}, {'max_depth': 10, 'min_impurity_decrease': 0.2, 'n_estimators': 50, 'n_jobs': -1}, {'max_depth': 10, 'min_impurity_decrease': 0.2, 'n_estimators': 100, 'n_jobs': -1}, {'max_depth': 10, 'min_impurity_decrease': 0.2, 'n_estimators': 150, 'n_jobs': -1}, {'max_depth': 10, 'min_impurity_decrease': 0.4, 'n_estimators': 50, 'n_jobs': -1}, {'max_depth': 10, 'min_impurity_decrease': 0.4, 'n_estimators': 100, 'n_jobs': -1}, {'max_depth': 10, 'min_impurity_decrease': 0.4, 'n_estimators': 150, 'n_jobs': -1}], 'split0_test_score': array([0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875,",,,,,,,
"       0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875,",,,,,,,
"       0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875]), 'split1_test_score': array([0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875,",,,,,,,
"       0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875,",,,,,,,
"       0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875, 0.8526875]), 'split2_test_score': array([0.852625, 0.852625, 0.852625, 0.852625, 0.852625, 0.852625,",,,,,,,
"       0.852625, 0.852625, 0.852625, 0.852625, 0.852625, 0.852625,",,,,,,,
"       0.852625, 0.852625, 0.852625, 0.852625, 0.852625, 0.852625]), 'mean_test_score': array([0.85266667, 0.85266667, 0.85266667, 0.85266667, 0.85266667,",,,,,,,
"       0.85266667, 0.85266667, 0.85266667, 0.85266667, 0.85266667,",,,,,,,
"       0.85266667, 0.85266667, 0.85266667, 0.85266667, 0.85266667,",,,,,,,
"       0.85266667, 0.85266667, 0.85266667]), 'std_test_score': array([2.94627825e-05, 2.94627825e-05, 2.94627825e-05, 2.94627825e-05,",,,,,,,
"       2.94627825e-05, 2.94627825e-05, 2.94627825e-05, 2.94627825e-05,",,,,,,,
"       2.94627825e-05, 2.94627825e-05, 2.94627825e-05, 2.94627825e-05,",,,,,,,
"       2.94627825e-05, 2.94627825e-05, 2.94627825e-05, 2.94627825e-05,",,,,,,,
"       2.94627825e-05, 2.94627825e-05]), 'rank_test_score': array([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], dtype=int32)}","{'min_impurity_decrease': [0.2, 0.4], 'n_estimators': [50, 100, 150], 'max_depth': [3, 5, 10], 'n_jobs': [-1]}",,,,,,
15082020221350,LogisticRegression,0.0,"{'C': 1, 'class_weight': 'None', 'solver': 'lbfgs'}",3.0,make_scorer(accuracy_score),"{'mean_fit_time': array([0.58377393, 0.02290106, 0.59860627, 0.1958224 , 0.55384064,",
"       0.02148374, 0.56413913, 0.17064754]), 'std_fit_time': array([0.01447111, 0.0014313 , 0.0312701 , 0.02482769, 0.01974909,",,,,,,,
"       0.00337775, 0.04845649, 0.00325316]), 'mean_score_time': array([0.00537888, 0.        , 0.00444865, 0.0063026 , 0.00334334,",,,,,,,
"       0.        , 0.00363485, 0.00727534]), 'std_score_time': array([2.56695098e-04, 0.00000000e+00, 1.00827289e-03, 2.99836239e-04,",,,,,,,
"       1.42945144e-05, 0.00000000e+00, 6.90630582e-05, 1.52765212e-03]), 'param_C': masked_array(data=[0.1, 0.1, 0.1, 0.1, 1, 1, 1, 1],",,,,,,,
"             mask=[False, False, False, False, False, False, False, False],",,,,,,,
"       fill_value='?',",,,,,,,
"            dtype=object), 'param_class_weight': masked_array(data=['None', 'None', 'balanced', 'balanced', 'None', 'None',",,,,,,,
